name,organization,short_description,long_description,category,application_status,deadline,city,latitude,longitude,application_url,logo_url,tags
"Mackenzie Health Year-Round Volunteer","Mackenzie Health","Support hospital operations and patient experience through weekly shifts in York Region.","This ongoing program requires a commitment from September until June. Volunteers work in both clinical and non-clinical areas, helping patients navigate the facility and providing administrative support. Students develop professional communication skills in a healthcare environment.","volunteering","rolling","","Richmond Hill",43.8837,-79.4447,"https://mackenzie.vsyslive.com/","","hospital,york-region,healthcare,richmond-hill,year-round,volunteering"
"Mackenzie Health High School Co-op Intern","Mackenzie Health","Earn academic credit while exploring healthcare careers through a hospital placement.","Students apply through their school's co-op office for placements in departments such as Communications, Finance, or Human Resources. Placements provide immersive, hands-on experience and exposure to medical professionals. This is a non-clinical role focused on hospital operations.","internship","seasonal","","Vaughan",43.8582,-79.5165,"https://www.mackenziehealth.ca/","","hospital,york-region,co-op,internship,vaughan,healthcare"
"Halton Healthcare Youth Volunteer","Halton Healthcare","Support patients and staff at Georgetown, Milton, or Oakville hospitals through companionship.","Volunteers aged 14+ participate in roles like the Elder Life Program and Gift Shop service. A minimum commitment of 50 hours or 6 months is required. Placements offer exposure to a clinical environment and help enhance the patient experience through compassion and respect.","volunteering","rolling","","Oakville",43.4357,-79.7428,"https://www.haltonhealthcare.on.ca/","","hospital,halton-region,clinical-support,oakville,year-round,volunteering"
"Halton Healthcare High School Co-op Intern","Halton Healthcare","Gain pre-professional experience in a hospital setting through local co-op offices.","Coordinated through local school boards, this program places students in specific hospital departments. Students learn about the healthcare system while fulfilling their co-op requirements. Placements vary per semester and provide significant insight into clinical and administrative pathways.","internship","seasonal","","Milton",43.5147,-79.8829,"https://www.haltonhealthcare.on.ca/","","hospital,halton-region,co-op,internship,milton,healthcare"
"Halton Healthcare Elder Life Volunteer","Halton Healthcare","Provide companionship and socialization to elderly patients to prevent clinical decline.","Part of a specialized program at Oakville Trafalgar Hospital, volunteers visit seniors to play games, read, and engage in conversation. This role is ideal for students interested in geriatrics or social work. It requires a consistent weekly commitment and mandatory health screening.","volunteering","rolling","","Oakville",43.4357,-79.7428,"https://www.haltonhealthcare.on.ca/","","seniors,hospital,halton-region,oakville,volunteering,healthcare"
"Joseph Brant Hospital Student Volunteer","Joseph Brant Hospital","Support patient care and wayfinding at Burlington’s acute care community hospital.","Volunteers assist with wayfinding, outpatient clinics, and the ""Eating Matters"" dining program. A 6-month commitment of one shift per week is required. High school students are exempted from the vulnerable sector check fee. Placements focus on creating a positive experience for patients and families.","volunteering","rolling","","Burlington",43.3255,-79.7990,"https://www.josephbranthospital.ca/","","hospital,halton-region,burlington,volunteering,patient-care,healthcare"
"Joseph Brant Hospital Co-op Student","Joseph Brant Hospital","Explore clinical and non-clinical hospital roles through the local school boards.","Placements are available in Finance, IT, and Admitting. High school students coordinate through their school co-op teacher. The program allows students to cherish everyone's input while gaining exposure to different professionals. Opportunities vary by semester and hospital need.","internship","seasonal","","Burlington",43.3255,-79.7990,"https://www.josephbranthospital.ca/","","hospital,halton-region,co-op,internship,burlington,healthcare"
"Oshawa Counsellor In Training (C.I.T.)","City of Oshawa","Complete leadership theory and gain hands-on camp experience at Oshawa recreation sites.","This program for youth aged 14–16 includes one week of leadership theory and two weeks of practical experience. Participants develop skills in program planning and behavior management. Successful completion prepares students for future employment as camp staff. Registration opens in April.","leadership","seasonal","","Oshawa",43.8971,-78.8658,"https://register.oshawa.ca/","","leadership,durham-region,oshawa,summer-camp,recreation,high-school"
"Oshawa Leader In Training (L.I.T.)","City of Oshawa","Gain foundational leadership skills in a recreation setting for youth aged 12–14.","The LIT course includes lessons on group management, communication, and game planning. Participants then apply these skills in a camp environment under staff supervision. It is the first step in the city’s youth leadership pipeline. Registration opens in April.","leadership","seasonal","","Oshawa",43.8971,-78.8658,"https://www.oshawa.ca/","","leadership,durham-region,oshawa,recreation,youth,high-school"
"Ajax YEAC Committee Member","Town of Ajax","Represent youth interests and collaborate on community donation programs in Ajax.","The Youth Engagement Advisory Committee (YEAC) advises Town Council on youth-related issues and events. Members lead initiatives like the Winter Care Package program for youth in need. Applications open in the late summer for a September–June term.","leadership","seasonal","2026-09-01","Ajax",43.8509,-79.0204,"https://www.ajax.ca/","","civic,leadership,durham-region,ajax,municipal,high-school"
"Oakville Youth Action Committee (OYAC)","Town of Oakville","Shape municipal youth programming and plan community events as a teen leader.","OYAC is a leadership group for students aged 13–18 who meet monthly to advise the Town on youth issues. Members plan local events and contribute to the development of recreational facilities. Participation earns community service hours. Meetings held at QE Park Community Centre.","leadership","rolling","","Oakville",43.4182,-79.7135,"https://www.oakville.ca/","","civic,leadership,halton-region,oakville,youth-voice,high-school"
"Halton Hills AVIP Aquatics Volunteer","Town of Halton Hills","Gain experience as a swim instructor assistant while working toward certifications.","The Aquatics Volunteer Incentive Program (AVIP) helps youth reduce costs of becoming a certified swim instructor. Volunteers assist staff in delivering lessons and must have completed Swimmer Level 6. It is a pipeline for future employment with the Town.","leadership","rolling","","Georgetown",43.6477,-79.9253,"https://www.haltonhills.ca/","","aquatics,leadership,halton-region,georgetown,recreation,high-school"
"CLOCA CATS Trail Steward","Central Lake Ontario Conservation","Help maintain local trails and monitor forest health as a volunteer steward in Durham.","The Conservation Area Trail Stewards (CATS) program engages students in environmental maintenance. Volunteers monitor trail conditions, report issues, and assist with light maintenance tasks. This role provides significant outdoor experience and contributes to regional conservation goals.","volunteering","rolling","","Whitby",43.8975,-78.9429,"https://cloca.com/","","environment,conservation,durham-region,whitby,volunteering,high-school"
"RMG Learning & Engagement Volunteer","Robert McLaughlin Gallery (RMG)","Support art instructors in delivering creative programming to children at Durham's art gallery.","Volunteers assist with daily art activities, games, and supervision during RMG's summer camps and educational programs. It is an excellent way to gain experience working with children and learn about artistic techniques. Participants must be 16+.","volunteering","seasonal","","Oshawa",43.8946,-78.8631,"https://rmg.on.ca/","","arts,education,durham-region,oshawa,summer,volunteering"
"Girls Inc Durham CIT Program Leader","Girls Inc. of Durham","Develop leadership skills and mentor younger girls at summer camps in Durham region.","Youth aged 13–16 co-facilitate activities and build self-confidence. The program focuses on STEM, stress management, and financial literacy. CITs work under staff guidance and earn community service hours. Multiple locations available in Pickering, Whitby, and Oshawa.","leadership","seasonal","","Pickering",43.8354,-79.0892,"https://www.girlsinc-durham.org/","","leadership,girls,durham-region,summer,stem,high-school"
"Habitat for Humanity Durham Youth Builder","Habitat for Humanity Durham","Participate in youth-friendly build days or create gifts for new homeowners.","Youth aged 10–18 volunteer alongside Habitat staff to decorate gifts for homebuyers or assist with small construction tasks. This program provides insight into affordable housing and community impact. Registration is via group interest forms or seasonal open calls.","community-service","seasonal","","Oshawa",43.8971,-78.8658,"https://www.durhamhabitat.org/","","construction,housing,durham-region,oshawa,community-service,high-school"
"WE GROW FOOD Adopt-a-Garden Volunteer","We Grow Food","Maintain a school or community garden through watering and weeding during the summer.","Volunteers are matched with a garden in their neighbourhood and commit to 1–2 hours per week. This flexible, independent role is ideal for students who enjoy being outdoors. Training sessions are held in April. Students may support their own school's garden.","volunteering","seasonal","","Whitby",43.8975,-78.9429,"https://durham.cioc.ca/","","gardening,environment,durham-region,whitby,community,volunteering"
"Durham Outlook Kitchen Volunteer","Durham Outlook for the Needy","Help prepare and serve daily meals to individuals in need in Oshawa.","Volunteers work in the kitchen to prepare food or in the dining room to serve guests. This front-line role provides direct support to vulnerable populations in Oshawa. Morning and afternoon shifts are available. Students learn about food security and community support.","volunteering","rolling","","Oshawa",43.8971,-78.8658,"https://durhamoutlook.com/","","food-service,durham-region,oshawa,community-service,volunteering,high-school"
"Halton Food For Thought Student Volunteer","Halton Food For Thought","Prepare and serve healthy snacks in Halton schools to support student nutrition.","Volunteers work within their own schools to ensure students have access to healthy food. This role involves morning shifts (7:30 - 9:00 AM). Volunteers must undergo screening and follow food safety guidelines. It is a critical support role for child health and learning.","volunteering","rolling","","Milton",43.5147,-79.8829,"https://www.haltonfoodforthought.com/","","food-security,halton-region,milton,school-year,health,volunteering"
"Food4Kids Halton Food Bag Delivery","Food4Kids Halton","Deliver food bags to local schools to support students facing food insecurity.","Volunteers aged 16+ assist with school-year food deliveries in Burlington and Oakville. This role requires a reliable commitment to bi-weekly shifts. It is a direct community service opportunity that ensures children have food for the weekend. A criminal record check is mandatory.","community-service","rolling","","Burlington",43.3255,-79.7990,"https://food4kidshalton.ca/","","food-security,halton-region,burlington,community-service,high-school"
"Helson Gallery Art Docent","Town of Halton Hills","Facilitate conversations about art and guide visitors through gallery exhibitions.","Docents aged 16+ help ensure visitors have a valuable experience by explaining art themes. Ideal for students with an interest in art history or public speaking. Training provided on the gallery's permanent collection. Located in the Halton Hills Cultural Centre.","volunteering","rolling","","Georgetown",43.6477,-79.9253,"https://www.haltonhills.ca/","","arts,history,halton-region,georgetown,museum,volunteering"
"Vaughan PL Reading Buddies Volunteer","Vaughan Public Libraries","Mentor elementary students and help them develop reading skills at library branches.","Teens in Grade 9–12 act as positive role models, practicing reading and playing literacy games with younger children. Volunteers must complete an interview and attend training. Sessions run throughout the school year. Application packages at service desks.","tutoring-mentoring","seasonal","","Vaughan",43.8372,-79.5008,"https://www.vaughanpl.info/","","literacy,mentoring,york-region,vaughan,library,school-year"
"Vaughan PL Makers With a Cause Participant","Vaughan Public Libraries","Earn volunteer hours by participating in DIY activities to support local charities.","Students create meaningful items like cards for seniors or blankets for shelters. Held at the Maple Library branch, these sessions provide a creative outlet for community service. Participants must bring school volunteer forms. Registration via Eventbrite.","volunteering","seasonal","","Vaughan",43.8642,-79.5222,"https://www.vaughanpl.info/","","arts,community-service,york-region,vaughan,library,volunteering"
"Achēv EmpowHER Program Member","Achēv","Join a leadership and civic engagement program for young women and LGBTQ2+ youth.","Hybrid program for youth aged 15–29. Participants complete 120 hours focused on civic action, project management, and tech skills. Provides mentorship to help youth excel in community leadership. Achēv is a not-for-profit providing newcomer and youth services.","leadership","rolling","","Mississauga",43.5890,-79.6441,"https://achev.ca/","","leadership,girls,lgbtq,peel-region,mississauga,newcomer-support"
"Pathways to Education Tutor","Regent Park Community Health Centre","Provide academic support in core subjects to local high school students.","Tutors commit to one evening per week to assist students with homework and skill-building. The program focuses on helping youth graduate and transition to post-secondary studies. Volunteers must specialize in math, science, English, or French. Located in Regent Park.","tutoring-mentoring","rolling","","Toronto",43.6601,-79.3601,"https://regentparkchc.org/","","tutoring,toronto,equity,education,social-support,mentoring"
"BGC Durham Learn On Academic Mentor","BGC Durham","Provide homework help and career workshops to peers at Durham youth hubs.","Operates at Eastview and Northview units in Oshawa. Student mentors assist peers with studies while accessing technology and post-secondary resources. Free drop-in hub on weekday evenings. Fosters a supportive educational community for Durham youth.","tutoring-mentoring","rolling","","Oshawa",43.8971,-78.8658,"https://www.bgcdurham.com/","","tutoring,durham-region,oshawa,high-school,drop-in,mentoring"
"Mississauga Library TAG Member","Mississauga Library System","Volunteer for a Teen Advisory Group to help shape library services and collections.","TAG members provide feedback on library programs and assist with local branch events. Participation earns high school community service hours. It is an ongoing leadership role that encourages civic voice and library advocacy. Available at multiple branches.","leadership","rolling","","Mississauga",43.5890,-79.6441,"https://www.mississauga.ca/","","library,leadership,peel-region,mississauga,youth-voice,high-school"
"York Region CAS YAC Member","York Region Children's Aid Society","Provide a youth voice to the programs and policies of the York Region CAS.","Council of youth aged 16–23 advocating for rights of children in care. Members meet twice a month on Zoom to consult on agency projects. Participation builds leadership, advocacy, and social justice skills. Equity-focused council for those with lived experience.","leadership","rolling","","Richmond Hill",43.8828,-79.4403,"https://www.yorkcas.org/","","advocacy,social-services,york-region,leadership,equity,youth"
"Volunteer Connect Youth Ambassador","Volunteer Connect York Region","Promote local volunteering opportunities to peers in Markham and Vaughan.","Ambassadors help spread awareness of the Volunteer Connect database. They represent the organization at community events and high school volunteer fairs. Role focuses on networking, marketing, and peer engagement. Helps build social capital in York Region.","leadership","rolling","","Markham",43.8561,-79.3370,"https://volunteerconnect.ca/","","community,leadership,york-region,markham,volunteering,high-school"
"Visions of Science Sr Youth Leader","Visions of Science","Mentor students in Grades 10-12 and facilitate hands-on STEM workshops in Toronto.","Senior youth leaders provide academic and personal mentorship to younger students in underserved communities. They assist in delivering STEM programming and building community networks. Role emphasizes leadership, advocacy, and educational equity. Part of a structured youth development pathway.","leadership","rolling","","Toronto",43.6532,-79.3832,"https://www.vosnl.org/","","stem,mentoring,toronto,equity,leadership,youth"
"St. Vincent de Paul Camp Volunteer","Society of St. Vincent de Paul","Volunteer at a week-long overnight camp for youth and adults with disabilities.","Includes training in socialization, supervision, and basic physical assistance. Volunteers support campers in swimming, sports, and crafts. The program fosters social interaction, confidence, and independence. Meals and transportation are provided for the week.","volunteering","seasonal","","Toronto",43.6532,-79.3832,"https://svdptoronto.org/","","disability,summer-camp,toronto,volunteering,social-inclusion"
"Nankind Peer Mentor","Nankind","Provide companionship and support to children whose parents are affected by cancer.","Mentors are matched with a child for weekly visits to build trust and meaningful connections. This role provides joy and support to families during difficult times. Specialized training in grief and trauma-informed care is provided. Requires a high level of dependability and empathy.","tutoring-mentoring","rolling","","Toronto",43.6532,-79.3832,"https://nankind.com/","","mentoring,health,toronto,youth-support,tutoring"
"U+ Community Crochet Volunteer","U+ Community","Create handmade items for local charities while learning about community needs.","Students earn volunteer hours by crocheting blankets, hats, and scarves for shelters. This hybrid program allows students to work from home while attending virtual workshops on social impact. Finished items are collected and distributed to vulnerable populations in the Peel and Toronto regions.","volunteering","rolling","2028-01-01","Mississauga",43.5890,-79.6441,"https://www.peeleducation.org/","","arts,community-service,peel-region,mississauga,volunteering,high-school"
"U+ Community Data Analyst Volunteer","U+ Community","Use data visualization and analysis to support non-profit reporting.","This role is ideal for students with an interest in statistics and social science. Volunteers help process data related to community engagement and project outcomes. It is a virtual role that provides practical experience in data engineering and research for the non-profit sector.","research","rolling","2028-01-01","Mississauga",43.5890,-79.6441,"https://www.peeleducation.org/","","data,research,virtual,peel-region,stem,high-school"
"U+ Community Website Developer","U+ Community","Support the design and maintenance of non-profit web platforms for youth engagement.","Students with coding skills assist in building and updating community websites. This is a high-impact technical volunteer role that provides professional-level web development experience. Volunteers work under the guidance of tech mentors to ensure platforms are accessible and secure.","research","rolling","2028-01-01","Mississauga",43.5890,-79.6441,"https://www.peeleducation.org/","","tech,web-development,virtual,peel-region,stem,research"
"Prepr Digital Marketing Intern","Prepr","Draft and schedule social media content while learning about the Future of Work.","This virtual internship focuses on digital literacy and professional communication. Interns manage LinkedIn and Instagram channels for a leading tech non-profit. They receive training in SEO, content strategy, and platform analytics. The role is designed to reward initiative with meaningful equity.","internship","rolling","","Toronto",43.6532,-79.3832,"https://www.prepr.org/","","marketing,virtual,toronto,internship,tech,high-school"
"BGC Durham BYTE Lab Coding Mentor","BGC Durham","Assist Black girls with foundational coding and AI game creation projects in Oshawa.","Mentors work in partnership with Ontario Tech Engineering Outreach to deliver coding workshops. Role involves guiding students through machine learning concepts and creative tech projects. It provides significant leadership experience in an academic and community integration setting.","research","seasonal","","Oshawa",43.8971,-78.8658,"https://www.bgcdurham.com/","","stem,coding,durham-region,oshawa,research,high-school"
"Across U-hub Youth Program Assistant","Across U-hub","Assist with the delivery of cultural and social programs for youth in Markham.","Student assistants help organize workshops, cultural festivals, and community outreach events. Role provides exposure to non-profit management and community development. May require work on weekends or evenings. Supports a safe and inclusive hub for York Region youth.","volunteering","seasonal","2026-07-10","Markham",43.8516,-79.3444,"https://acrossuhub.com/","","culture,youth,york-region,markham,volunteering,community"
"Oak Ridges Trail Steward","Oak Ridges Trail Association","Help maintain trail conditions and monitor forest health in the Aurora/Whitby area.","Junior stewards monitor specific segments of the Oak Ridges Moraine trail. Responsibilities include reporting maintenance issues, removing litter, and assisting with trail restoration events. Provides significant outdoor experience and insight into environmental management.","volunteering","rolling","","Aurora",44.0065,-79.4504,"https://www.oakridgestrail.org/","","environment,york-region,aurora,volunteering,outdoor,high-school"
"Keep Durham Beautiful Litter Leader","Keep Durham Beautiful","Lead community cleanup events and advocate for waste reduction in Durham Region.","Litter Leaders are trained to organize their own local cleanups and educate peers on environmental stewardship. Roles include coordinating volunteers, managing supplies, and tracking litter data for municipal reporting. Ideal for students seeking leadership roles within the environmental sector.","leadership","rolling","","Whitby",43.8975,-78.9429,"https://www.keepdurhambeautiful.org/","","environment,durham-region,whitby,leadership,community"
"Keep Durham Beautiful Exhibit Assistant","Keep Durham Beautiful","Support the installation of student art exhibits focused on environmental resilience.","Volunteers assist with the ""Ready, Set, Resilience"" exhibit at the Museum of Life and Science. Roles include greeting visitors, explaining art themes, and assisting with setup/teardown. Unique intersection of arts administration and environmental advocacy.","volunteering","seasonal","","Whitby",43.8975,-78.9429,"https://www.keepdurhambeautiful.org/","","arts,durham-region,whitby,volunteering,environment"
"City of Mississauga MiWay Student Ambassador","City of Mississauga","Promote public transit and sustainable travel to peers at Mississauga schools.","Ambassadors represent MiWay by running information booths and digital marketing campaigns. This professional development role focuses on communications and community outreach. Applications open in the spring for a September start. Earns significant leadership hours.","leadership","seasonal","2026-05-31","Mississauga",43.5890,-79.6441,"https://www.mississauga.ca/","","marketing,transit,peel-region,mississauga,leadership,high-school"
"City of Mississauga Animal Shelter Socializer","City of Mississauga","Assist with the care and socialization of cats and small animals at the shelter.","Volunteers help shelter animals become more comfortable with human interaction to increase adoption success. Roles include light cleaning, feline enrichment activities, and promotional support. Requires completion of an orientation and a consistent weekly commitment.","volunteering","rolling","","Mississauga",43.5890,-79.6441,"https://www.mississauga.ca/","","animals,peel-region,mississauga,volunteering,high-school"
"City of Mississauga Parks Steward","City of Mississauga","Volunteer to maintain public garden beds and woodlands across Mississauga.","Individual stewards are assigned to specific parks to assist with weeding, mulching, and planting. Role includes training in native plant identification and conservation techniques. Flexible schedule suitable for students looking for independent outdoor work.","volunteering","rolling","","Mississauga",43.5890,-79.6441,"https://www.mississauga.ca/","","environment,peel-region,mississauga,volunteering,gardening"
"Halton Hills Tiny Dancers Assistant","Town of Halton Hills","Assist dance instructors with classes for children aged 2 to 6 in Halton Hills.","Volunteers support recreation staff in delivering ballet, hip hop, and acro lessons. Role focuses on encouraging creativity and confidence in young learners. Ideal for students with dance experience interested in early childhood education or recreation leadership.","volunteering","seasonal","","Georgetown",43.6477,-79.9253,"https://www.haltonhills.ca/","","arts,recreation,halton-region,georgetown,volunteering"
"Helson Gallery Workshop Docent","Town of Halton Hills","Guide gallery visitors and assist with art education workshops in Georgetown.","Docents facilitate conversations about current exhibitions and support hands-on art activities. Role requires an interest in the arts and strong communication skills. Training is provided on the gallery's permanent collection and exhibition goals.","volunteering","rolling","","Georgetown",43.6477,-79.9253,"https://www.haltonhills.ca/","","arts,halton-region,georgetown,volunteering,museum"
"York Region Summer Student Intern","Region of York","Gain exposure to the public sector through a 4-month summer internship in Newmarket.","Students work in departments such as Parks, Finance, or Social Services. The program focuses on aligning career aspirations with professional projects. Applicants must be returning to full-time studies in September. Recruitment occurs in January for May starts.","internship","seasonal","2026-01-25","Newmarket",44.0592,-79.4613,"https://www.york.ca/","","government,internship,york-region,newmarket,summer"
"Mackenzie Health Clinical Registry Assistant","Mackenzie Health","Provide administrative support to clinical departments in Vaughan or Richmond Hill.","Volunteers assist with filing, data entry, and organizing medical records within a hospital setting. This non-clinical role provides significant insight into the administrative operations of a large healthcare network. Requires a high level of confidentiality and reliability.","volunteering","rolling","","Vaughan",43.8582,-79.5165,"https://mackenzie.vsyslive.com/","","hospital,admin,york-region,vaughan,healthcare,volunteering"
